id,home_team_id,away_team_id,goals_home_team,goals_away_team,match_date,gameweek,league_id,status,created_at,updated_at,home_adj_goals,away_adj_goals,home_shot_xg,away_shot_xg,home_non_shot_xg,away_non_shot_xg,url,final_home_win_probability,final_away_win_probability,final_draw_probability
1069,43,44,2,3,2017-08-19 16:15:00 UTC,1,32,FINISHED,2017-09-06 10:41:43 UTC,2017-09-06 10:48:35 UTC,2.1,3.2,1.8,2.0,1.2,1.0,http://api.football-data.org/v1/fixtures/163216,0.41,0.33,0.26
1067,39,40,1,0,2017-08-18 18:15:00 UTC,1,32,FINISHED,2017-09-06 10:41:43 UTC,2017-09-06 10:48:35 UTC,1.1,0.0,1.2,1.1,0.9,0.5,http://api.football-data.org/v1/fixtures/163219,0.46,0.25,0.29
1462,66,71,1,2,2017-08-27 18:45:00 UTC,2,34,FINISHED,2017-09-06 10:41:46 UTC,2017-09-06 10:48:42 UTC,1.1,2.1,1.0,1.7,1.6,1.3,http://api.football-data.org/v1/fixtures/163891,0.29,0.44,0.26
1463,77,61,0,0,2017-08-27 18:45:00 UTC,2,34,FINISHED,2017-09-06 10:41:46 UTC,2017-09-06 10:48:42 UTC,0.0,0.0,0.9,0.2,1.8,0.6,http://api.football-data.org/v1/fixtures/163892,0.48,0.21,0.31
1464,74,69,1,2,2017-08-27 18:45:00 UTC,2,34,FINISHED,2017-09-06 10:41:46 UTC,2017-09-06 10:48:42 UTC,1.1,2.1,1.8,1.9,2.3,0.7,http://api.football-data.org/v1/fixtures/163893,0.5,0.25,0.25
1465,78,60,2,1,2017-08-27 18:45:00 UTC,2,34,FINISHED,2017-09-06 10:41:46 UTC,2017-09-06 10:48:42 UTC,2.1,1.1,1.4,0.6,0.7,1.0,http://api.football-data.org/v1/fixtures/163894,0.65,0.14,0.21
1459,64,73,1,3,2017-08-26 18:45:00 UTC,2,34,FINISHED,2017-09-06 10:41:46 UTC,2017-09-06 10:48:42 UTC,1.1,2.7,1.4,2.5,1.4,1.9,http://api.football-data.org/v1/fixtures/163898,0.51,0.26,0.23
1458,70,75,0,1,2017-08-26 16:00:00 UTC,2,34,FINISHED,2017-09-06 10:41:46 UTC,2017-09-06 10:48:42 UTC,0.0,1.1,0.8,1.5,1.8,0.6,http://api.football-data.org/v1/fixtures/163890,0.34,0.35,0.31
1451,77,78,0,3,2017-08-20 18:45:00 UTC,1,34,FINISHED,2017-09-06 10:41:46 UTC,2017-09-06 10:48:42 UTC,0.0,2.5,0.3,1.9,0.6,2.7,http://api.football-data.org/v1/fixtures/163900,0.25,0.48,0.27
1455,67,68,0,0,2017-08-20 18:45:00 UTC,1,34,FINISHED,2017-09-06 10:41:46 UTC,2017-09-06 10:48:42 UTC,0.0,0.0,0.5,1.0,0.9,1.5,http://api.football-data.org/v1/fixtures/163905,0.52,0.23,0.25
1450,69,70,2,1,2017-08-20 18:45:00 UTC,1,34,FINISHED,2017-09-06 10:41:46 UTC,2017-09-06 10:48:42 UTC,2.1,1.1,2.6,1.2,1.6,1.2,http://api.football-data.org/v1/fixtures/163904,0.6,0.15,0.25
1454,71,72,0,0,2017-08-20 18:45:00 UTC,1,34,FINISHED,2017-09-06 10:41:46 UTC,2017-09-06 10:48:42 UTC,0.0,0.0,0.9,0.6,1.9,0.8,http://api.football-data.org/v1/fixtures/163903,0.68,0.12,0.21
1453,73,74,3,0,2017-08-20 18:45:00 UTC,1,34,FINISHED,2017-09-06 10:41:46 UTC,2017-09-06 10:48:42 UTC,2.9,0.0,3.0,0.7,2.1,1.6,http://api.football-data.org/v1/fixtures/163902,0.59,0.2,0.22
1449,63,64,0,1,2017-08-20 16:00:00 UTC,1,34,FINISHED,2017-09-06 10:41:46 UTC,2017-09-06 10:48:42 UTC,0.0,1.1,1.2,0.3,1.6,0.9,http://api.football-data.org/v1/fixtures/163907,0.32,0.43,0.25
1448,61,62,1,3,2017-08-19 18:45:00 UTC,1,34,FINISHED,2017-09-06 10:41:46 UTC,2017-09-06 10:48:42 UTC,0.8,3.2,1.5,2.6,0.8,2.7,http://api.football-data.org/v1/fixtures/163908,0.13,0.66,0.21
